"","Date","Habitat","Transect Number","Team members","Trap Station","Ground trap","Tree","Species","Distance","DBH","Comments"
"1","9/5/18","Deciduous",1,"Sam & Aidan","1","Both present","Base","Hemlock",NA,52,NA
"2","9/5/18","Deciduous",1,"Sam & Aidan","1","Both present","Q1","Hemlock",1.1,55,NA
"3","9/5/18","Deciduous",1,"Sam & Aidan","1","Both present","Q2","Hemlock",3.9,31,NA
"4","9/5/18","Deciduous",1,"Sam & Aidan","1","Both present","Q3","Hemlock",2.4,38,NA
"5","9/5/18","Deciduous",1,"Sam & Aidan","1","Both present","Q4","Hemlock",8.4,43,NA
"6","9/5/18","Deciduous",1,"Sam & Aidan","2","Both present","Base","Hemlock",NA,40,NA
"7","9/5/18","Deciduous",1,"Sam & Aidan","2","Both present","Q1","Sugar maple",4.3,30,NA
"8","9/5/18","Deciduous",1,"Sam & Aidan","2","Both present","Q2","Red maple",6.4,34,NA
"9","9/5/18","Deciduous",1,"Sam & Aidan","2","Both present","Q3","Yellow birch",5.2,24,NA
"10","9/5/18","Deciduous",1,"Sam & Aidan","2","Both present","Q4","Cedar",3.7,33,NA
"11","9/5/18","Deciduous",1,"Sam & Aidan","3","Both present","Base","Red maple",NA,34,NA
"12","9/5/18","Deciduous",1,"Sam & Aidan","3","Both present","Q1","Sugar maple",3.7,19,NA
"13","9/5/18","Deciduous",1,"Sam & Aidan","3","Both present","Q2","Red maple",1.4,34,NA
"14","9/5/18","Deciduous",1,"Sam & Aidan","3","Both present","Q3","White ash",2.5,32,NA
"15","9/5/18","Deciduous",1,"Sam & Aidan","3","Both present","Q4","Red maple",3.2,10,NA
"16","9/5/18","Deciduous",1,"Sam & Aidan","4","Both present","Q1","Hemlock",2.2,14,NA
"17","9/5/18","Deciduous",1,"Sam & Aidan","4","Both present","Q2","Red maple",0.5,17,NA
"18","9/5/18","Deciduous",1,"Sam & Aidan","4","Both present","Q3","Hemlock",1.6,7,NA
"19","9/5/18","Deciduous",1,"Sam & Aidan","4","Both present","Q4","Red maple",4.9,9,NA
"20","9/5/18","Deciduous",1,"Sam & Aidan","5","Both present","Base","Sugar maple",NA,25,NA
"21","9/5/18","Deciduous",1,"Sam & Aidan","5","Both present","Q1","Hemlock",3.5,13,NA
"22","9/5/18","Deciduous",1,"Sam & Aidan","5","Both present","Q2","Red maple",1.6,13,NA
"23","9/5/18","Deciduous",1,"Sam & Aidan","5","Both present","Q3","Hemlock",3.3,16,NA
"24","9/5/18","Deciduous",1,"Sam & Aidan","5","Both present","Q4","Red maple",1.2,17,NA
"25","9/12/18","Deciduous",1,"Sam & Aidan","6","Both present","Base","White pine",NA,25,NA
"26","9/12/18","Deciduous",1,"Sam & Aidan","6","Both present","Q1","Red maple",5.2,28,NA
"27","9/12/18","Deciduous",1,"Sam & Aidan","6","Both present","Q2","Red maple",2.1,25,NA
"28","9/12/18","Deciduous",1,"Sam & Aidan","6","Both present","Q3","Sugar maple",2.2,24,NA
"29","9/12/18","Deciduous",1,"Sam & Aidan","6","Both present","Q4","Hemlock",2.5,10,NA
"30","9/12/18","Deciduous",1,"Sam & Aidan","7","Both present","Q1","Red maple",1.9,18,NA
"31","9/12/18","Deciduous",1,"Sam & Aidan","7","Both present","Q2","Red maple",1.7,8,NA
"32","9/12/18","Deciduous",1,"Sam & Aidan","7","Both present","Q3","Sugar maple",2,14,NA
"33","9/12/18","Deciduous",1,"Sam & Aidan","7","Both present","Q4","Sugar maple",1.6,19,NA
"34","9/12/18","Deciduous",1,"Sam & Aidan","8","Both present","Base","Sugar maple",NA,27,NA
"35","9/12/18","Deciduous",1,"Sam & Aidan","8","Both present","Q1","Red maple",3,15,NA
"36","9/12/18","Deciduous",1,"Sam & Aidan","8","Both present","Q2","Red maple",1.9,13,NA
"37","9/12/18","Deciduous",1,"Sam & Aidan","8","Both present","Q3","Red maple",1.4,21,NA
"38","9/12/18","Deciduous",1,"Sam & Aidan","8","Both present","Q4","Red maple",0.6,11,NA
"39","9/12/18","Deciduous",1,"Sam & Aidan","9","Need ground","Base","White pine",NA,64,NA
"40","9/12/18","Deciduous",1,"Sam & Aidan","9","Need ground","Q1","Red maple",3.7,28,NA
"41","9/12/18","Deciduous",1,"Sam & Aidan","9","Need ground","Q2","Cedar",5,13,NA
"42","9/12/18","Deciduous",1,"Sam & Aidan","9","Need ground","Q3","Cedar",3.1,13,NA
"43","9/12/18","Deciduous",1,"Sam & Aidan","9","Need ground","Q4","Cedar",1,18,NA
"44","9/12/18","Deciduous",1,"Sam & Aidan","10","Both present","Base","Red maple",NA,16,NA
"45","9/12/18","Deciduous",1,"Sam & Aidan","10","Both present","Q1","Red maple",2.4,10,NA
"46","9/12/18","Deciduous",1,"Sam & Aidan","10","Both present","Q2","Red maple",2,10,NA
"47","9/12/18","Deciduous",1,"Sam & Aidan","10","Both present","Q3","Red maple",2.4,5,NA
"48","9/12/18","Deciduous",1,"Sam & Aidan","10","Both present","Q4","Yellow birch",3.6,9,"paper birch?"
"49","9/5/18","Deciduous",2,"Emily & Austin","1","Both present","Base","Cedar",NA,2.6,NA
"50","9/5/18","Deciduous",2,"Emily & Austin","1","Both present","Q1","Hemlock",2.8,8,NA
"51","9/5/18","Deciduous",2,"Emily & Austin","1","Both present","Q2","Hemlock",4.7,8,NA
"52","9/5/18","Deciduous",2,"Emily & Austin","1","Both present","Q3","Hemlock",5.4,8,NA
"53","9/5/18","Deciduous",2,"Emily & Austin","1","Both present","Q4","Hemlock",4.6,25,NA
"54","9/5/18","Deciduous",2,"Emily & Austin","2","Both present","Base","Cedar",NA,19,NA
"55","9/5/18","Deciduous",2,"Emily & Austin","2","Both present","Q1","Hemlock",4.7,8,NA
"56","9/5/18","Deciduous",2,"Emily & Austin","2","Both present","Q2","Hemlock",3.9,63,NA
"57","9/5/18","Deciduous",2,"Emily & Austin","2","Both present","Q3","Hemlock",7.7,11,NA
"58","9/5/18","Deciduous",2,"Emily & Austin","2","Both present","Q4","Red maple",2.6,15,NA
"59","9/5/18","Deciduous",2,"Emily & Austin","3","Both present","Base","Sugar maple",NA,41,NA
"60","9/5/18","Deciduous",2,"Emily & Austin","3","Both present","Q1","Hemlock",3.4,5,NA
"61","9/5/18","Deciduous",2,"Emily & Austin","3","Both present","Q2","Hemlock",4.2,21,NA
"62","9/5/18","Deciduous",2,"Emily & Austin","3","Both present","Q3","Hemlock",7.5,7,NA
"63","9/5/18","Deciduous",2,"Emily & Austin","3","Both present","Q4","Hemlock",4.6,43,NA
"64","9/5/18","Deciduous",2,"Emily & Austin","4","Both present","Base","Hemlock",NA,49,NA
"65","9/5/18","Deciduous",2,"Emily & Austin","4","Both present","Q1","Red maple",4.2,33,NA
"66","9/5/18","Deciduous",2,"Emily & Austin","4","Both present","Q2","Hemlock",4.9,5,NA
"67","9/5/18","Deciduous",2,"Emily & Austin","4","Both present","Q3","Hemlock",5.5,7,NA
"68","9/5/18","Deciduous",2,"Emily & Austin","4","Both present","Q4","Hemlock",2.5,20,NA
"69","9/5/18","Deciduous",2,"Emily & Austin","5","Both present","Base","Yellow birch",NA,20,NA
"70","9/5/18","Deciduous",2,"Emily & Austin","5","Both present","Q1","Hemlock",2.8,6,NA
"71","9/5/18","Deciduous",2,"Emily & Austin","5","Both present","Q2","Hemlock",2.1,29,NA
"72","9/5/18","Deciduous",2,"Emily & Austin","5","Both present","Q3","Hemlock",3.6,33,NA
"73","9/5/18","Deciduous",2,"Emily & Austin","5","Both present","Q4","Hemlock",0.6,6,NA
"74","9/12/18","Deciduous",2,"Emily & Austin","6","Both present","Base","Sugar maple",NA,20,NA
"75","9/12/18","Deciduous",2,"Emily & Austin","6","Both present","Q1","Red maple",3.4,9,NA
"76","9/12/18","Deciduous",2,"Emily & Austin","6","Both present","Q2","Sugar maple",3.7,31,NA
"77","9/12/18","Deciduous",2,"Emily & Austin","6","Both present","Q3","Red maple",2.6,17,NA
"78","9/12/18","Deciduous",2,"Emily & Austin","6","Both present","Q4","Sugar maple",4.3,14,NA
"79","9/12/18","Deciduous",2,"Emily & Austin","7","Both present","Base","Red pine",NA,17,NA
"80","9/12/18","Deciduous",2,"Emily & Austin","7","Both present","Q1","White pine",2.6,37,NA
"81","9/12/18","Deciduous",2,"Emily & Austin","7","Both present","Q2","Sugar maple",2,15,NA
"82","9/12/18","Deciduous",2,"Emily & Austin","7","Both present","Q3","Red maple",2,10,NA
"83","9/12/18","Deciduous",2,"Emily & Austin","7","Both present","Q4","Red maple",0.9,15,NA
"84","9/12/18","Deciduous",2,"Abby, Donovan & Jackie","8","Both present","Base","Red pine",NA,20,NA
"85","9/12/18","Deciduous",2,"Abby, Donovan & Jackie","8","Both present","Q1","Red maple",1.4,7,NA
"86","9/12/18","Deciduous",2,"Abby, Donovan & Jackie","8","Both present","Q2","Red maple",2.4,22,NA
"87","9/12/18","Deciduous",2,"Abby, Donovan & Jackie","8","Both present","Q3","Red maple",2.2,9,NA
"88","9/12/18","Deciduous",2,"Abby, Donovan & Jackie","8","Both present","Q4","Red maple",1.6,7,NA
"89","9/12/18","Deciduous",2,"Emily & Austin","9","Both present","Base","Red maple",NA,12,NA
"90","9/12/18","Deciduous",2,"Emily & Austin","9","Both present","Q1","Red maple",0.9,10,NA
"91","9/12/18","Deciduous",2,"Emily & Austin","9","Both present","Q2","Red maple",3.6,11,NA
"92","9/12/18","Deciduous",2,"Emily & Austin","9","Both present","Q3","Red maple",4.4,12,NA
"93","9/12/18","Deciduous",2,"Emily & Austin","9","Both present","Q4","Red maple",3.8,11,NA
"94","9/12/18","Deciduous",2,"Abby, Donovan & Jackie","10","Both present","Base","Red maple",NA,20,NA
"95","9/12/18","Deciduous",2,"Abby, Donovan & Jackie","10","Both present","Q1","Red maple",1.5,20,NA
"96","9/12/18","Deciduous",2,"Abby, Donovan & Jackie","10","Both present","Q2","Red maple",1.5,6,NA
"97","9/12/18","Deciduous",2,"Abby, Donovan & Jackie","10","Both present","Q3","Red maple",0.6,6,NA
"98","9/12/18","Deciduous",2,"Abby, Donovan & Jackie","10","Both present","Q4","Red maple",1.9,8,NA
"99","9/5/18","Hemlock",1,"Brittany, Grace & Abi","1","Both present","Base","Hemlock",NA,28.3,NA
"100","9/5/18","Hemlock",1,"Brittany, Grace & Abi","1","Both present","Q1","Hemlock",4.9,41.2,NA
"101","9/5/18","Hemlock",1,"Brittany, Grace & Abi","1","Both present","Q2","Hemlock",5.5,26.4,NA
"102","9/5/18","Hemlock",1,"Brittany, Grace & Abi","1","Both present","Q3","Sugar maple",4.2,32.9,NA
"103","9/5/18","Hemlock",1,"Brittany, Grace & Abi","1","Both present","Q4","Shagbark hickory",3.5,37.5,NA
"104","9/5/18","Hemlock",1,"Brittany, Grace & Abi","2","Both present","Base","Hemlock",NA,22.6,NA
"105","9/5/18","Hemlock",1,"Brittany, Grace & Abi","2","Both present","Q1","Hemlock",3,8.5,NA
"106","9/5/18","Hemlock",1,"Brittany, Grace & Abi","2","Both present","Q2","Red maple",4.3,12,NA
"107","9/5/18","Hemlock",1,"Brittany, Grace & Abi","2","Both present","Q3","Hemlock",10.3,41.2,NA
"108","9/5/18","Hemlock",1,"Brittany, Grace & Abi","2","Both present","Q4","Hemlock",1.9,17.7,NA
"109","9/5/18","Hemlock",1,"Brittany, Grace & Abi","3","Need tree","Base","Hemlock",NA,25.7,NA
"110","9/5/18","Hemlock",1,"Brittany, Grace & Abi","3","Need ground","Q1","Red maple",3.1,29.1,NA
"111","9/5/18","Hemlock",1,"Brittany, Grace & Abi","3","Need ground","Q2","Hemlock",4.2,9.3,NA
"112","9/5/18","Hemlock",1,"Brittany, Grace & Abi","3","Need ground","Q3","Hemlock",3.1,11.8,NA
"113","9/5/18","Hemlock",1,"Brittany, Grace & Abi","3","Need ground","Q4","Red maple",3.4,28,NA
"114","9/5/18","Hemlock",1,"Brittany, Grace & Abi","4","Need tree","Base","Red maple",NA,37.2,NA
"115","9/5/18","Hemlock",1,"Brittany, Grace & Abi","4","Need ground","Q1","Hemlock",3.9,20.7,NA
"116","9/5/18","Hemlock",1,"Brittany, Grace & Abi","4","Need ground","Q2","Hemlock",5.4,10.6,NA
"117","9/5/18","Hemlock",1,"Brittany, Grace & Abi","4","Need ground","Q3","Yellow birch",5.9,8.8,NA
"118","9/5/18","Hemlock",1,"Brittany, Grace & Abi","4","Need ground","Q4","Hemlock",1.6,19.7,NA
"119","9/5/18","Hemlock",1,"Brittany, Grace & Abi","5","Both present","Base","Yellow birch",NA,19.5,NA
"120","9/5/18","Hemlock",1,"Brittany, Grace & Abi","5","Both present","Q1","Hemlock",2.5,6.2,NA
"121","9/5/18","Hemlock",1,"Brittany, Grace & Abi","5","Both present","Q2","Silver maple",3.3,46.6,NA
"122","9/5/18","Hemlock",1,"Brittany, Grace & Abi","5","Both present","Q3","Hemlock",3.1,10.1,NA
"123","9/5/18","Hemlock",1,"Brittany, Grace & Abi","5","Both present","Q4","Hemlock",4.9,27.9,NA
"124","9/5/18","Hemlock",1,"Brittany, Grace & Abi","6","Both present","Base","Hemlock",1.1,36.1,NA
"125","9/5/18","Hemlock",1,"Brittany, Grace & Abi","6","Both present","Q1","Hemlock",1.1,36.1,NA
"126","9/5/18","Hemlock",1,"Brittany, Grace & Abi","6","Both present","Q2","Hemlock",3.2,29,NA
"127","9/5/18","Hemlock",1,"Brittany, Grace & Abi","6","Both present","Q3","Hemlock",3.6,23.6,NA
"128","9/5/18","Hemlock",1,"Brittany, Grace & Abi","6","Both present","Q4","Hemlock",5.5,31,NA
"129","9/5/18","Hemlock",1,"Brittany, Grace & Abi","7","Both present","Base","Hemlock",NA,27.1,NA
"130","9/5/18","Hemlock",1,"Brittany, Grace & Abi","7","Both present","Q1","Hemlock",9.4,18.7,NA
"131","9/5/18","Hemlock",1,"Brittany, Grace & Abi","7","Both present","Q2","Hemlock",8.6,27.7,NA
"132","9/5/18","Hemlock",1,"Brittany, Grace & Abi","7","Both present","Q3","Hemlock",4.5,22.5,NA
"133","9/5/18","Hemlock",1,"Brittany, Grace & Abi","7","Both present","Q4","Hemlock",3.4,48.3,NA
"134","9/5/18","Hemlock",1,"Brittany, Grace & Abi","8","Both present","Base","Red maple",NA,27.2,NA
"135","9/5/18","Hemlock",1,"Brittany, Grace & Abi","8","Both present","Q1","White pine",6.8,85.6,NA
"136","9/5/18","Hemlock",1,"Brittany, Grace & Abi","8","Both present","Q2","Red maple",6.3,14.3,NA
"137","9/5/18","Hemlock",1,"Brittany, Grace & Abi","8","Both present","Q3","Hemlock",7.3,18.7,NA
"138","9/5/18","Hemlock",1,"Brittany, Grace & Abi","8","Both present","Q4","White pine",8.6,44.9,NA
"139","9/5/18","Hemlock",1,"Brittany, Grace & Abi","9","Both present","Base","White pine",NA,85.6,NA
"140","9/5/18","Hemlock",1,"Brittany, Grace & Abi","9","Both present","Q1","Red maple",3.8,16.2,NA
"141","9/5/18","Hemlock",1,"Brittany, Grace & Abi","9","Both present","Q2","Hemlock",6.4,48.9,NA
"142","9/5/18","Hemlock",1,"Brittany, Grace & Abi","9","Both present","Q3","Red maple",NA,6.8,NA
"143","9/5/18","Hemlock",1,"Brittany, Grace & Abi","9","Both present","Q4","White pine",7.8,57.5,NA
"144","9/5/18","Hemlock",1,"Brittany, Grace & Abi","10","Both present","Base","Sugar maple",NA,23.7,NA
"145","9/5/18","Hemlock",1,"Brittany, Grace & Abi","10","Both present","Q1","Hemlock",2.6,7.1,NA
"146","9/5/18","Hemlock",1,"Brittany, Grace & Abi","10","Both present","Q2","American beech",1.6,7.6,NA
"147","9/5/18","Hemlock",1,"Brittany, Grace & Abi","10","Both present","Q3","American beech",1.6,5.8,NA
"148","9/5/18","Hemlock",1,"Brittany, Grace & Abi","10","Both present","Q4","American beech",1,16.9,NA
"149","9/5/18","Pine",1,"Shyanne, Rachel & Holly","1","Both present","Base","Red pine",NA,33,NA
